date,home_team,away_team,home_win_rate,prob_iso,prob_used,odds_1,EV_€_per_100,stake,potential_profit_if_win,status,win,pnl,settled_at,game_key
2026-01-05,DET,NYK,0.62,0.6666666666666666,0.6666666666666666,2.3,53.33333333333331,100.0,130.0,SETTLED,1.0,129.99999999999997,2026-01-05,2026-01-05_DET_NYK
2026-01-05,DET,NYK,0.62,0.6666666666666666,0.6666666666666666,2.3,53.33333333333331,100.0,130.0,SETTLED,1.0,129.99999999999997,2026-01-05,2026-01-05_DET_NYK
2026-01-05,DET,NYK,0.62,0.6666666666666666,0.6666666666666666,2.3,53.33333333333331,100.0,130.0,SETTLED,1.0,129.99999999999997,2026-01-05,2026-01-05_DET_NYK
2026-01-05,DET,NYK,0.62,0.6666666666666666,0.6666666666666666,2.3,53.33333333333331,100.0,130.0,SETTLED,1.0,129.99999999999997,2026-01-05,2026-01-05_DET_NYK
2026-01-05,DET,NYK,0.62,0.6666666666666666,0.6666666666666666,2.3,53.33333333333331,100.0,130.0,SETTLED,1.0,129.99999999999997,2026-01-05,2026-01-05_DET_NYK
2026-01-05,DET,NYK,0.62,0.6666666666666666,0.6666666666666666,2.3,53.33333333333331,100.0,130.0,SETTLED,1.0,129.99999999999997,2026-01-05,2026-01-05_DET_NYK
2026-01-05,DET,NYK,0.62,0.6666666666666666,0.6666666666666666,2.3,53.33333333333331,100.0,130.0,SETTLED,1.0,129.99999999999997,2026-01-05,2026-01-05_DET_NYK
2026-01-05,DET,NYK,0.62,0.6666666666666666,0.6666666666666666,2.3,53.33333333333331,100.0,130.0,SETTLED,1.0,129.99999999999997,2026-01-05,2026-01-05_DET_NYK
2026-01-05,DET,NYK,0.62,0.6666666666666666,0.6666666666666666,2.3,53.33333333333331,100.0,130.0,SETTLED,1.0,129.99999999999997,2026-01-05,2026-01-05_DET_NYK
2026-01-05,DET,NYK,0.62,0.6666666666666666,0.6666666666666666,2.3,53.33333333333331,100.0,130.0,SETTLED,1.0,129.99999999999997,2026-01-05,2026-01-05_DET_NYK
2026-01-05,DET,NYK,0.62,0.6666666666666666,0.6666666666666666,2.3,53.33333333333331,100.0,130.0,SETTLED,1.0,129.99999999999997,2026-01-05,2026-01-05_DET_NYK
2026-01-05,DET,NYK,0.62,0.6666666666666666,0.6666666666666666,2.3,53.33333333333331,100.0,130.0,SETTLED,1.0,129.99999999999997,2026-01-05,2026-01-05_DET_NYK
2026-01-07,CHO,TOR,0.5,0.47682119205298,0.47682119205298,2.1,0.1324503311258107,100.0,110.0,SETTLED,0.0,-100.0,2026-01-07,2026-01-07_CHO_TOR
2026-01-07,CHO,TOR,0.5,0.47682119205298,0.47682119205298,2.1,0.1324503311258107,100.0,110.0,SETTLED,0.0,-100.0,2026-01-07,2026-01-07_CHO_TOR
2026-01-07,MEM,PHO,0.5,0.47682119205298,0.47682119205298,2.8,33.5099337748344,100.0,180.0,PENDING,,,,2026-01-07_MEM_PHO
2026-01-07,MEM,PHO,0.5,0.47682119205298,0.47682119205298,2.8,33.5099337748344,100.0,180.0,PENDING,,,,2026-01-07_MEM_PHO
2026-01-09,DEN,ATL,0.71,0.474025974025974,0.474025974025974,2.02,-4.246753246753249,100.0,102.0,SETTLED,0.0,-100.0,2026-01-09,2026-01-09_DEN_ATL
2026-01-09,DEN,ATL,0.71,0.474025974025974,0.474025974025974,2.02,-4.246753246753249,100.0,102.0,SETTLED,0.0,-100.0,2026-01-09,2026-01-09_DEN_ATL
2026-01-09,DEN,ATL,0.71,0.474025974025974,0.474025974025974,2.02,-4.246753246753249,100.0,102.0,SETTLED,0.0,-100.0,2026-01-09,2026-01-09_DEN_ATL
2026-01-09,DEN,ATL,0.71,0.474025974025974,0.474025974025974,2.02,-4.246753246753249,100.0,102.0,SETTLED,0.0,-100.0,2026-01-09,2026-01-09_DEN_ATL
2026-01-09,DEN,ATL,0.71,0.474025974025974,0.474025974025974,2.02,-4.246753246753249,100.0,102.0,SETTLED,0.0,-100.0,2026-01-09,2026-01-09_DEN_ATL
2026-01-09,DEN,ATL,0.71,0.474025974025974,0.474025974025974,2.02,-4.246753246753249,100.0,102.0,SETTLED,0.0,-100.0,2026-01-09,2026-01-09_DEN_ATL
2026-01-09,DEN,ATL,0.71,0.474025974025974,0.474025974025974,2.02,-4.246753246753249,100.0,102.0,SETTLED,0.0,-100.0,2026-01-09,2026-01-09_DEN_ATL
2026-01-09,DEN,ATL,0.71,0.474025974025974,0.474025974025974,2.02,-4.246753246753249,100.0,102.0,SETTLED,0.0,-100.0,2026-01-09,2026-01-09_DEN_ATL
