date,home_team,away_team,home_win_rate,prob_iso,prob_used,odds_1,EV_€_per_100,stake_flat,potential_profit_if_win,won,pnl_flat,cum_profit_flat,bankroll_flat,bankroll_after_flat
2025-12-27 00:00:00,ORL,DEN,0.7,0.4513274336283185,0.4513274336283185,2.6,17.345132743362836,100.0,160.0,,,,,
2025-12-27 00:00:00,HOU,CLE,0.86,0.6883116883116883,0.6883116883116883,1.57,8.064935064935069,100.0,57.0,,,,,
2025-12-28 00:00:00,TOR,GSW,0.55,0.4566929133858268,0.4566929133858268,2.54,16.000000000000014,100.0,154.0,,,,,
2025-12-28 00:00:00,TOR,GSW,0.55,0.4566929133858268,0.4566929133858268,2.54,16.000000000000014,100.0,154.0,,,,,
2025-12-29 00:00:00,SAS,CLE,0.83,0.7647058823529411,0.7647058823529411,1.74,33.058823529411754,100.0,74.0,,,,,
2025-12-29 00:00:00,CHO,MIL,0.5,0.4609375,0.4609375,2.36,8.781249999999996,100.0,136.0,,,,,
2025-12-29 00:00:00,MIA,DEN,0.6,0.4609375,0.4609375,2.14,-1.359374999999996,100.0,114.0,,,,,
2025-12-29 00:00:00,SAS,CLE,0.83,0.7647058823529411,0.7647058823529411,1.74,33.058823529411754,100.0,74.0,,,,,
2025-12-29 00:00:00,CHO,MIL,0.5,0.4609375,0.4609375,2.36,8.781249999999996,100.0,136.0,,,,,
2025-12-29 00:00:00,MIA,DEN,0.6,0.4609375,0.4609375,2.14,-1.359374999999996,100.0,114.0,,,,,
2025-12-30 00:00:00,LAL,DET,0.6,0.6599999999999998,0.6599999999999998,2.24,47.839999999999975,100.0,124.0,,,,,
2025-12-30 00:00:00,MEM,PHI,0.57,0.691358024691358,0.691358024691358,1.95,34.81481481481481,100.0,95.0,,,,,
2025-12-30 00:00:00,LAL,DET,0.6,0.6599999999999998,0.6599999999999998,2.24,47.839999999999975,100.0,124.0,,,,,
2025-12-30 00:00:00,MEM,PHI,0.57,0.691358024691358,0.691358024691358,1.95,34.81481481481481,100.0,95.0,,,,,
2025-12-31 00:00:00,CHO,GSW,0.5,0.3877551020408163,0.45,3.0,35.0,100.0,200.0,,,,,
2025-12-31 00:00:00,SAS,NYK,0.67,0.6470588235294118,0.6470588235294118,1.82,17.76470588235295,100.0,82.0,,,,,
2025-12-31 00:00:00,SAS,NYK,0.67,0.6470588235294118,0.6470588235294118,1.82,17.76470588235295,100.0,82.0,,,,,
2026-01-01 00:00:00,DAL,PHI,0.86,0.4632352941176469,0.4632352941176469,2.14,-0.8676470588235397,100.0,114.0,,,,,
2026-01-03 00:00:00,MIA,MIN,0.6,0.6,0.6,2.24,34.400000000000006,100.0,124.0,,,,,
2026-01-03 00:00:00,MIA,MIN,0.6,0.6,0.6,2.24,34.400000000000006,100.0,124.0,,,,,
2026-01-03 00:00:00,MIA,MIN,0.6,0.6,0.6,2.24,34.400000000000006,100.0,124.0,,,,,
2026-01-05 00:00:00,DET,NYK,0.62,0.6666666666666666,0.6666666666666666,2.3,53.33333333333331,100.0,130.0,,,,,
2026-01-05 00:00:00,DET,NYK,0.62,0.6666666666666666,0.6666666666666666,2.3,53.33333333333331,100.0,130.0,,,,,
2026-01-05 00:00:00,DET,NYK,0.62,0.6666666666666666,0.6666666666666666,2.3,53.33333333333331,100.0,130.0,,,,,
2026-01-05 00:00:00,DET,NYK,0.62,0.6666666666666666,0.6666666666666666,2.3,53.33333333333331,100.0,130.0,,,,,
2026-01-05 00:00:00,DET,NYK,0.62,0.6666666666666666,0.6666666666666666,2.3,53.33333333333331,100.0,130.0,,,,,
2026-01-05 00:00:00,DET,NYK,0.62,0.6666666666666666,0.6666666666666666,2.3,53.33333333333331,100.0,130.0,,,,,
2026-01-05 00:00:00,DET,NYK,0.62,0.6666666666666666,0.6666666666666666,2.3,53.33333333333331,100.0,130.0,,,,,
2026-01-05 00:00:00,DET,NYK,0.62,0.6666666666666666,0.6666666666666666,2.3,53.33333333333331,100.0,130.0,,,,,
2026-01-05 00:00:00,DET,NYK,0.62,0.6666666666666666,0.6666666666666666,2.3,53.33333333333331,100.0,130.0,,,,,
2026-01-05 00:00:00,DET,NYK,0.62,0.6666666666666666,0.6666666666666666,2.3,53.33333333333331,100.0,130.0,,,,,
2026-01-05 00:00:00,DET,NYK,0.62,0.6666666666666666,0.6666666666666666,2.3,53.33333333333331,100.0,130.0,,,,,
2026-01-05 00:00:00,DET,NYK,0.62,0.6666666666666666,0.6666666666666666,2.3,53.33333333333331,100.0,130.0,,,,,
2026-01-07 00:00:00,MEM,PHO,0.5,0.47682119205298,0.47682119205298,2.8,33.5099337748344,100.0,180.0,,,,,
2026-01-07 00:00:00,CHO,TOR,0.5,0.47682119205298,0.47682119205298,2.1,0.1324503311258107,100.0,110.0,,,,,
2026-01-07 00:00:00,MEM,PHO,0.5,0.47682119205298,0.47682119205298,2.8,33.5099337748344,100.0,180.0,,,,,
2026-01-07 00:00:00,CHO,TOR,0.5,0.47682119205298,0.47682119205298,2.1,0.1324503311258107,100.0,110.0,,,,,
2026-01-09 00:00:00,POR,HOU,0.55,0.474025974025974,0.474025974025974,3.0,42.2077922077922,100.0,200.0,,,,,
2026-01-09 00:00:00,ORL,PHI,0.62,0.474025974025974,0.474025974025974,2.3,9.025974025974016,100.0,130.0,,,,,
2026-01-09 00:00:00,DEN,ATL,0.71,0.474025974025974,0.474025974025974,2.02,-4.246753246753249,100.0,102.0,,,,,
2026-01-09 00:00:00,POR,HOU,0.55,0.474025974025974,0.474025974025974,3.0,42.2077922077922,100.0,200.0,,,,,
2026-01-09 00:00:00,ORL,PHI,0.62,0.474025974025974,0.474025974025974,2.3,9.025974025974016,100.0,130.0,,,,,
2026-01-09 00:00:00,DEN,ATL,0.71,0.474025974025974,0.474025974025974,2.02,-4.246753246753249,100.0,102.0,,,,,
2026-01-09 00:00:00,POR,HOU,0.55,0.474025974025974,0.474025974025974,3.0,42.2077922077922,100.0,200.0,,,,,
2026-01-09 00:00:00,ORL,PHI,0.62,0.474025974025974,0.474025974025974,2.3,9.025974025974016,100.0,130.0,,,,,
2026-01-09 00:00:00,DEN,ATL,0.71,0.474025974025974,0.474025974025974,2.02,-4.246753246753249,100.0,102.0,,,,,
2026-01-09 00:00:00,POR,HOU,0.55,0.474025974025974,0.474025974025974,3.0,42.2077922077922,100.0,200.0,,,,,
2026-01-09 00:00:00,ORL,PHI,0.62,0.474025974025974,0.474025974025974,2.3,9.025974025974016,100.0,130.0,,,,,
2026-01-09 00:00:00,DEN,ATL,0.71,0.474025974025974,0.474025974025974,2.02,-4.246753246753249,100.0,102.0,,,,,
2026-01-09 00:00:00,POR,HOU,0.55,0.474025974025974,0.474025974025974,3.0,42.2077922077922,100.0,200.0,,,,,
2026-01-09 00:00:00,ORL,PHI,0.62,0.474025974025974,0.474025974025974,2.3,9.025974025974016,100.0,130.0,,,,,
2026-01-09 00:00:00,DEN,ATL,0.71,0.474025974025974,0.474025974025974,2.02,-4.246753246753249,100.0,102.0,,,,,
2026-01-09 00:00:00,POR,HOU,0.55,0.474025974025974,0.474025974025974,3.0,42.2077922077922,100.0,200.0,,,,,
2026-01-09 00:00:00,ORL,PHI,0.62,0.474025974025974,0.474025974025974,2.3,9.025974025974016,100.0,130.0,,,,,
2026-01-09 00:00:00,DEN,ATL,0.71,0.474025974025974,0.474025974025974,2.02,-4.246753246753249,100.0,102.0,,,,,
2026-01-09 00:00:00,POR,HOU,0.55,0.474025974025974,0.474025974025974,3.0,42.2077922077922,100.0,200.0,,,,,
2026-01-09 00:00:00,ORL,PHI,0.62,0.474025974025974,0.474025974025974,2.3,9.025974025974016,100.0,130.0,,,,,
2026-01-09 00:00:00,DEN,ATL,0.71,0.474025974025974,0.474025974025974,2.02,-4.246753246753249,100.0,102.0,,,,,
2026-01-09 00:00:00,POR,HOU,0.55,0.474025974025974,0.474025974025974,3.0,42.2077922077922,100.0,200.0,,,,,
2026-01-09 00:00:00,ORL,PHI,0.62,0.474025974025974,0.474025974025974,2.3,9.025974025974016,100.0,130.0,,,,,
2026-01-09 00:00:00,DEN,ATL,0.71,0.474025974025974,0.474025974025974,2.02,-4.246753246753249,100.0,102.0,,,,,
2026-01-09 00:00:00,POR,HOU,0.55,0.474025974025974,0.474025974025974,3.0,42.2077922077922,100.0,200.0,,,,,
2026-01-09 00:00:00,ORL,PHI,0.62,0.474025974025974,0.474025974025974,2.3,9.025974025974016,100.0,130.0,,,,,
2026-01-09 00:00:00,DEN,ATL,0.71,0.474025974025974,0.474025974025974,2.02,-4.246753246753249,100.0,102.0,,,,,
2026-01-09 00:00:00,POR,HOU,0.55,0.474025974025974,0.474025974025974,3.0,42.2077922077922,100.0,200.0,,,,,
2026-01-09 00:00:00,ORL,PHI,0.62,0.474025974025974,0.474025974025974,2.3,9.025974025974016,100.0,130.0,,,,,
2026-01-09 00:00:00,DEN,ATL,0.71,0.474025974025974,0.474025974025974,2.02,-4.246753246753249,100.0,102.0,,,,,
2026-01-11 00:00:00,POR,NYK,0.64,0.6506024096385542,0.6506024096385542,2.6,69.15662650602408,100.0,160.0,,,,,
2026-01-11 00:00:00,POR,NYK,0.64,0.6506024096385542,0.6506024096385542,2.6,69.15662650602408,100.0,160.0,,,,,
2026-01-11 00:00:00,POR,NYK,0.64,0.6506024096385542,0.6506024096385542,2.6,69.15662650602408,100.0,160.0,,,,,
2026-01-11 00:00:00,POR,NYK,0.64,0.6506024096385542,0.6506024096385542,2.6,69.15662650602408,100.0,160.0,,,,,
2026-01-11 00:00:00,POR,NYK,0.64,0.6506024096385542,0.6506024096385542,2.6,69.15662650602408,100.0,160.0,,,,,
2026-01-11 00:00:00,POR,NYK,0.64,0.6506024096385542,0.6506024096385542,2.6,69.15662650602408,100.0,160.0,,,,,
2026-01-11 00:00:00,POR,NYK,0.64,0.6506024096385542,0.6506024096385542,2.6,69.15662650602408,100.0,160.0,,,,,
2026-01-11 00:00:00,POR,NYK,0.64,0.6506024096385542,0.6506024096385542,2.6,69.15662650602408,100.0,160.0,,,,,
2026-01-11 00:00:00,POR,NYK,0.64,0.6506024096385542,0.6506024096385542,2.6,69.15662650602408,100.0,160.0,,,,,
2026-01-11 00:00:00,POR,NYK,0.64,0.6506024096385542,0.6506024096385542,2.6,69.15662650602408,100.0,160.0,,,,,
2026-01-11 00:00:00,POR,NYK,0.64,0.6506024096385542,0.6506024096385542,2.6,69.15662650602408,100.0,160.0,,,,,
2026-01-11 00:00:00,POR,NYK,0.64,0.6506024096385542,0.6506024096385542,2.6,69.15662650602408,100.0,160.0,,,,,
2026-01-11 00:00:00,POR,NYK,0.64,0.6506024096385542,0.6506024096385542,2.6,69.15662650602408,100.0,160.0,,,,,
2026-01-11 00:00:00,POR,NYK,0.64,0.6506024096385542,0.6506024096385542,2.6,69.15662650602408,100.0,160.0,,,,,
2026-01-11 00:00:00,POR,NYK,0.64,0.6506024096385542,0.6506024096385542,2.6,69.15662650602408,100.0,160.0,,,,,
2026-01-12 00:00:00,TOR,PHI,0.5,0.625,0.625,2.3,43.749999999999986,100.0,130.0,,,,,
2026-01-12 00:00:00,TOR,PHI,0.5,0.625,0.625,2.3,43.749999999999986,100.0,130.0,,,,,
2026-01-12 00:00:00,TOR,PHI,0.5,0.625,0.625,2.3,43.749999999999986,100.0,130.0,,,,,
2026-01-12 00:00:00,TOR,PHI,0.5,0.625,0.625,2.3,43.749999999999986,100.0,130.0,,,,,
2026-01-12 00:00:00,TOR,PHI,0.5,0.625,0.625,2.3,43.749999999999986,100.0,130.0,,,,,
