home_team,away_team,home_team_prob,odds_1,odds_2,result,game_date,prob_live_safe,prob_used,blocked_by,run_date,created_utc,source,game_key,stage2_candidate_type,params_chosen,params_compareN,params_used,result_raw,home_team_won,settled,pnl_ml_100,accuracy,prob_iso,prob_iso_insample,prob_iso_oos_time,prob_live_oos_proxy,prob_live_safe_pre_clip,prob_base,source_snapshot_date,pred_home_win_proba,closing_home_odds,closing_away_odds,iso_proba_home_win,live_oos_proxy_ready,live_oos_proxy_train_rows,live_oos_proxy_bin_n,live_oos_proxy_bin_winrate,market_implied_p_raw,market_implied_p_devig,model_market_gap,model_market_gap_flag,live_underdog_upscale_guard_triggered,prob_blended,live_shrink_triggered,implied_prob_1,home_win_rate,EV_€_per_100,engine_state,game_day
NYK,PHI,0.8004037291459513,1.24,4.3,0,2026-05-06,0.5899772209567198,0.7193093156944841,PASS,2026-05-06,2026-05-06T19:34:08.709796+00:00,,2026-05-06__NYK__PHI,NO_VALUE_SKIP,LOCAL,500.0,"{'home_win_rate_threshold': 0.55, 'odds_min': 1.4, 'odds_max': 3.2, 'prob_threshold': 0.5, 'n_trades': 78, 'win_rate_%': 65.38, 'avg_EV_€_per_100': 31.68, 'profit_€': 2298.0, 'roi_%': 29.46}",0,1.0,False,24.0,,0.7672413793103449,0.7672413793103449,0.7672413793103449,0.5899772209567198,0.5899772209567198,0.5899772209567198,,0.8004037291459513,1.24,4.3,0.7672413793103449,True,439.0,19.0,0.5899772209567198,0.8064516129032259,0.7761732851985559,-0.1861960642418361,False,False,0.7580109596405695,True,0.8064516129032259,0.75,-10.805644853883978,upcoming_d,2026-05-06
SAS,MIN,0.635260939751383,1.25,4.1,0,2026-05-06,0.5899772209567198,0.7098684118851343,PASS,2026-05-06,2026-05-06T19:34:08.709796+00:00,,2026-05-06__SAS__MIN,NO_VALUE_SKIP,LOCAL,500.0,"{'home_win_rate_threshold': 0.55, 'odds_min': 1.4, 'odds_max': 3.2, 'prob_threshold': 0.5, 'n_trades': 78, 'win_rate_%': 65.38, 'avg_EV_€_per_100': 31.68, 'profit_€': 2298.0, 'roi_%': 29.46}",0,1.0,False,25.0,,0.6617647058823529,0.6617647058823529,0.6617647058823529,0.5899772209567198,0.5899772209567198,0.5899772209567198,,0.635260939751383,1.25,4.1,0.6617647058823529,True,439.0,12.0,0.5899772209567198,0.8,0.7663551401869159,-0.176377919230196,False,False,0.7469040139825109,True,0.8,0.8,-11.26644851435822,upcoming_d,2026-05-06
DET,CLE,0.6994904871583444,1.62,2.36,0,2026-05-07,0.5918367346938775,0.5918525303856201,PASS,2026-05-07,2026-05-07T19:35:58.770402+00:00,,2026-05-07__DET__CLE,LOW_PRICE_NEGATIVE_EV,LOCAL,500.0,"{'home_win_rate_threshold': 0.55, 'odds_min': 1.4, 'odds_max': 3.2, 'prob_threshold': 0.5, 'n_trades': 78, 'win_rate_%': 65.38, 'avg_EV_€_per_100': 31.8, 'profit_€': 2298.0, 'roi_%': 29.46}",0,1.0,False,62.000000000000014,,0.7678571428571429,0.7678571428571429,0.7678571428571429,0.5918367346938775,0.5918367346938775,0.5918367346938775,,0.6994904871583444,1.62,2.36,0.7678571428571429,True,441.0,16.0,0.5918367346938775,0.6172839506172839,0.5929648241206029,-0.0011280894267253,False,False,0.5918525303856201,False,0.6172839506172839,0.8,-4.119890077529531,upcoming_d,2026-05-07
OKC,LAL,0.7269045161237182,1.11,7.0,0,2026-05-07,0.5918367346938775,0.8,PASS,2026-05-07,2026-05-07T19:35:58.770402+00:00,,2026-05-07__OKC__LAL,NO_VALUE_SKIP,LOCAL,500.0,"{'home_win_rate_threshold': 0.55, 'odds_min': 1.4, 'odds_max': 3.2, 'prob_threshold': 0.5, 'n_trades': 78, 'win_rate_%': 65.38, 'avg_EV_€_per_100': 31.8, 'profit_€': 2298.0, 'roi_%': 29.46}",0,1.0,False,11.00000000000001,,0.7678571428571429,0.7678571428571429,0.7678571428571429,0.5918367346938775,0.5918367346938775,0.5918367346938775,,0.7269045161237182,1.11,7.0,0.7678571428571429,True,441.0,14.0,0.5918367346938775,0.9009009009009008,0.8631319358816276,-0.2712952011877501,False,False,0.8539978098161619,True,0.9009009009009008,0.8,-11.199999999999989,upcoming_d,2026-05-07
MIN,SAS,0.4318640639020063,2.7,1.49,0,2026-05-08,0.5936794582392777,0.4074255166617725,PASS,2026-05-08,2026-05-08T22:44:22.588513+00:00,,2026-05-08__MIN__SAS,LIVE_WATCH_ONLY,LOCAL,500.0,"{'home_win_rate_threshold': 0.55, 'odds_min': 1.4, 'odds_max': 3.2, 'prob_threshold': 0.45, 'n_trades': 83, 'win_rate_%': 65.06, 'avg_EV_€_per_100': 31.53, 'profit_€': 2505.0, 'roi_%': 30.18}",0,0.0,False,-100.0,,0.4691358024691358,0.4691358024691358,0.4691358024691358,0.5936794582392777,0.5936794582392777,0.5936794582392777,,0.4318640639020063,2.7,1.49,0.4691358024691358,True,443.0,18.0,0.5936794582392777,0.3703703703703703,0.3556085918854415,0.2380708663538361,True,False,0.3677507380882464,True,0.3703703703703703,0.65,10.004889498678594,upcoming_d,2026-05-08
PHI,NYK,0.4822008581460796,1.82,2.02,0,2026-05-08,0.5936794582392777,0.5550822558698004,PASS,2026-05-08,2026-05-08T22:44:22.588513+00:00,,2026-05-08__PHI__NYK,LIVE_WATCH_ONLY,LOCAL,500.0,"{'home_win_rate_threshold': 0.55, 'odds_min': 1.4, 'odds_max': 3.2, 'prob_threshold': 0.45, 'n_trades': 83, 'win_rate_%': 65.06, 'avg_EV_€_per_100': 31.53, 'profit_€': 2505.0, 'roi_%': 30.18}",0,0.0,False,-100.0,,0.4691358024691358,0.4691358024691358,0.4691358024691358,0.5936794582392777,0.5936794582392777,0.5936794582392777,,0.4822008581460796,1.82,2.02,0.4691358024691358,True,443.0,10.0,0.5936794582392777,0.5494505494505494,0.5260416666666667,0.0676377915726109,False,False,0.5550822558698004,False,0.5494505494505494,0.55,1.0249705683036847,upcoming_d,2026-05-08
CLE,DET,0.4752726450328301,1.56,2.5,0,2026-05-09,0.5910112359550562,0.5975982143602514,PASS,2026-05-09,2026-05-09T18:56:38.345693+00:00,,2026-05-09__CLE__DET,LOW_PRICE_NEGATIVE_EV,LOCAL,500.0,"{'home_win_rate_threshold': 0.55, 'odds_min': 1.4, 'odds_max': 3.2, 'prob_threshold': 0.5, 'n_trades': 77, 'win_rate_%': 66.23, 'avg_EV_€_per_100': 32.04, 'profit_€': 2330.0, 'roi_%': 30.26}",0,1.0,False,56.00000000000001,,0.4571428571428571,0.4571428571428571,0.4571428571428571,0.5910112359550562,0.5910112359550562,0.5910112359550562,,0.4752726450328301,1.56,2.5,0.4571428571428571,True,445.0,14.0,0.5910112359550562,0.641025641025641,0.6157635467980296,-0.0247523108429733,False,False,0.5975982143602514,False,0.641025641025641,0.6,-6.774678559800773,upcoming_d,2026-05-09
LAL,OKC,0.2861736995465562,3.95,1.27,0,2026-05-09,0.5910112359550562,0.35,PASS,2026-05-09,2026-05-09T18:56:38.345693+00:00,,2026-05-09__LAL__OKC,LIVE_WATCH_ONLY,LOCAL,500.0,"{'home_win_rate_threshold': 0.55, 'odds_min': 1.4, 'odds_max': 3.2, 'prob_threshold': 0.5, 'n_trades': 77, 'win_rate_%': 66.23, 'avg_EV_€_per_100': 32.04, 'profit_€': 2330.0, 'roi_%': 30.26}",0,0.0,False,-100.0,,0.217391304347826,0.217391304347826,0.217391304347826,0.5910112359550562,0.5910112359550562,0.5910112359550562,,0.2861736995465562,3.95,1.27,0.217391304347826,True,445.0,17.0,0.5910112359550562,0.2531645569620253,0.2432950191570881,0.3477162167979681,True,False,0.2477988753796117,True,0.2531645569620253,0.6,38.25000000000001,upcoming_d,2026-05-09
MIN,SAS,0.5416807642957132,2.6,1.52,0,2026-05-10,0.5906040268456376,0.4179669694328164,PASS,2026-05-10,2026-05-10T18:57:45.670658+00:00,,2026-05-10__MIN__SAS,LIVE_WATCH_ONLY,LOCAL,500.0,"{'home_win_rate_threshold': 0.55, 'odds_min': 1.4, 'odds_max': 3.2, 'prob_threshold': 0.5, 'n_trades': 78, 'win_rate_%': 66.67, 'avg_EV_€_per_100': 32.02, 'profit_€': 2460.0, 'roi_%': 31.54}",0,1.0,False,160.0,,0.5697674418604651,0.5697674418604651,0.5697674418604651,0.5906040268456376,0.5906040268456376,0.5906040268456376,,0.5416807642957132,2.6,1.52,0.5697674418604651,True,447.0,18.0,0.5906040268456376,0.3846153846153846,0.3689320388349514,0.2216719880106862,True,False,0.3828099563325949,True,0.3846153846153846,0.65,8.671412052532279,upcoming_d,2026-05-10
PHI,NYK,0.442726603912224,2.0,1.83,0,2026-05-10,0.5906040268456376,0.5053464272839054,PASS,2026-05-10,2026-05-10T18:57:45.670658+00:00,,2026-05-10__PHI__NYK,LIVE_WATCH_ONLY,LOCAL,500.0,"{'home_win_rate_threshold': 0.55, 'odds_min': 1.4, 'odds_max': 3.2, 'prob_threshold': 0.5, 'n_trades': 78, 'win_rate_%': 66.67, 'avg_EV_€_per_100': 32.02, 'profit_€': 2460.0, 'roi_%': 31.54}",0,0.0,False,-100.0,,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.5906040268456376,0.5906040268456376,0.5906040268456376,,0.442726603912224,2.0,1.83,0.4642857142857143,True,447.0,17.0,0.5906040268456376,0.5,0.4778067885117493,0.1127972383338882,False,False,0.5053464272839054,False,0.5,0.55,1.0692854567810883,upcoming_d,2026-05-10
CLE,DET,0.5993057861280123,1.6,2.4,0,2026-05-11,0.5902004454342984,0.5913302279373693,PASS,2026-05-11,2026-05-11T19:36:10.016798+00:00,,2026-05-11__CLE__DET,LOW_PRICE_NEGATIVE_EV,LOCAL,500.0,"{'home_win_rate_threshold': 0.55, 'odds_min': 1.4, 'odds_max': 3.2, 'prob_threshold': 0.5, 'n_trades': 79, 'win_rate_%': 67.09, 'avg_EV_€_per_100': 32.34, 'profit_€': 2620.0, 'roi_%': 33.16}",0,1.0,False,60.00000000000001,,0.625,0.625,0.625,0.5902004454342984,0.5902004454342984,0.5902004454342984,,0.5993057861280123,1.6,2.4,0.625,True,449.0,17.0,0.5902004454342984,0.625,0.6,-0.0097995545657015,False,False,0.5913302279373693,False,0.625,0.6,-5.387163530020899,upcoming_d,2026-05-11
LAL,OKC,0.3559882562539441,5.25,1.17,0,2026-05-11,0.5902004454342984,0.35,PASS,2026-05-11,2026-05-11T19:36:10.016798+00:00,,2026-05-11__LAL__OKC,LIVE_WATCH_ONLY,LOCAL,500.0,"{'home_win_rate_threshold': 0.55, 'odds_min': 1.4, 'odds_max': 3.2, 'prob_threshold': 0.5, 'n_trades': 79, 'win_rate_%': 67.09, 'avg_EV_€_per_100': 32.34, 'profit_€': 2620.0, 'roi_%': 33.16}",0,0.0,False,-100.0,,0.3397539027051713,0.3397539027051713,0.3397539027051713,0.5902004454342984,0.5902004454342984,0.5902004454342984,,0.3559882562539441,5.25,1.17,0.3397539027051713,True,449.0,19.0,0.5902004454342984,0.1904761904761904,0.1822429906542056,0.4079574547800928,True,False,0.1847315269552139,True,0.1904761904761904,0.6,83.74999999999999,upcoming_d,2026-05-11
SAS,MIN,0.7140227195875563,1.26,4.0,0,2026-05-12,0.5898004434589801,0.7042046349432496,PASS,2026-05-12,2026-05-12T19:46:45.654792+00:00,,2026-05-12__SAS__MIN,NO_VALUE_SKIP,LOCAL,500.0,"{'home_win_rate_threshold': 0.55, 'odds_min': 1.4, 'odds_max': 3.2, 'prob_threshold': 0.5, 'n_trades': 80, 'win_rate_%': 67.5, 'avg_EV_€_per_100': 31.85, 'profit_€': 2680.0, 'roi_%': 33.5}",0,1.0,False,26.0,,0.7719298245614035,0.7719298245614035,0.7719298245614035,0.5898004434589801,0.5898004434589801,0.5898004434589801,,0.7140227195875563,1.26,4.0,0.7719298245614035,True,451.0,17.0,0.5898004434589801,0.7936507936507936,0.7604562737642586,-0.1706558303052785,False,False,0.7402407469920583,True,0.7936507936507936,0.8,-11.270215997150556,upcoming_d,2026-05-12
DET,CLE,0.5975148567099581,1.56,2.5,0,2026-05-13,0.5907079646017699,0.5974452228516435,PASS,2026-05-13,2026-05-13T19:51:22.073878+00:00,,2026-05-13__DET__CLE,LOW_PRICE_NEGATIVE_EV,LOCAL,500.0,"{'home_win_rate_threshold': 0.55, 'odds_min': 1.4, 'odds_max': 3.2, 'prob_threshold': 0.45, 'n_trades': 86, 'win_rate_%': 65.12, 'avg_EV_€_per_100': 31.31, 'profit_€': 2625.0, 'roi_%': 30.52}",0,0.0,False,-100.0,,0.6167617397675056,0.6167617397675056,0.6167617397675056,0.5907079646017699,0.5907079646017699,0.5907079646017699,,0.5975148567099581,1.56,2.5,0.6167617397675056,True,452.0,13.0,0.5907079646017699,0.641025641025641,0.6157635467980296,-0.0250555821962596,False,False,0.5974452228516435,False,0.641025641025641,0.8,-6.798545235143616,upcoming_d,2026-05-13
CLE,DET,0.587796851001231,1.56,2.5,0,2026-05-15,0.5894039735099338,0.5968034451964557,PASS,2026-05-15,2026-05-15T19:27:23.751062+00:00,,2026-05-15__CLE__DET,LOW_PRICE_NEGATIVE_EV,LOCAL,500.0,"{'home_win_rate_threshold': 0.55, 'odds_min': 1.4, 'odds_max': 3.2, 'prob_threshold': 0.5, 'n_trades': 81, 'win_rate_%': 66.67, 'avg_EV_€_per_100': 31.48, 'profit_€': 2580.0, 'roi_%': 31.85}",0,0.0,False,-100.0,,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5894039735099338,0.5894039735099338,0.5894039735099338,,0.587796851001231,1.56,2.5,0.5714285714285714,True,453.0,11.0,0.5894039735099338,0.641025641025641,0.6157635467980296,-0.0263595732880957,False,False,0.5968034451964557,False,0.641025641025641,0.6,-6.898662549352908,upcoming_d,2026-05-15
MIN,SAS,0.472769605367679,2.6,1.52,0,2026-05-15,0.5894039735099338,0.4180604065860264,PASS,2026-05-15,2026-05-15T19:27:23.751062+00:00,,2026-05-15__MIN__SAS,LIVE_WATCH_ONLY,LOCAL,500.0,"{'home_win_rate_threshold': 0.55, 'odds_min': 1.4, 'odds_max': 3.2, 'prob_threshold': 0.5, 'n_trades': 81, 'win_rate_%': 66.67, 'avg_EV_€_per_100': 31.48, 'profit_€': 2580.0, 'roi_%': 31.85}",0,0.0,False,-100.0,,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.5894039735099338,0.5894039735099338,0.5894039735099338,,0.472769605367679,2.6,1.52,0.4583333333333333,True,453.0,19.0,0.5894039735099338,0.3846153846153846,0.3689320388349514,0.2204719346749823,True,False,0.3829434379800377,True,0.3846153846153846,0.65,8.695705712366863,upcoming_d,2026-05-15
DET,CLE,0.7123255374894241,1.56,2.5,0,2026-05-17,0.5868131868131868,0.5956034924539026,PASS,2026-05-17,2026-05-17T19:04:15.033102+00:00,,2026-05-17__DET__CLE,LOW_PRICE_NEGATIVE_EV,LOCAL,500.0,"{'home_win_rate_threshold': 0.55, 'odds_min': 1.4, 'odds_max': 3.2, 'prob_threshold': 0.5, 'n_trades': 79, 'win_rate_%': 67.09, 'avg_EV_€_per_100': 32.04, 'profit_€': 2550.0, 'roi_%': 32.28}",0,0.0,False,-100.0,,0.7739130434782608,0.7739130434782608,0.7739130434782608,0.5868131868131868,0.5868131868131868,0.5868131868131868,,0.7123255374894241,1.56,2.5,0.7739130434782608,True,455.0,15.0,0.5868131868131868,0.641025641025641,0.6157635467980296,-0.0289503599848427,False,False,0.5956034924539026,False,0.641025641025641,0.8,-7.08585517719118,upcoming_d,2026-05-17
OKC,SAS,0.6508554620781105,1.41,3.0,0,2026-05-18,0.5855263157894737,0.628591663071408,PASS,2026-05-18,2026-05-18T21:15:28.001206+00:00,,2026-05-18__OKC__SAS,LOW_PRICE_NEGATIVE_EV,LOCAL,500.0,"{'home_win_rate_threshold': 0.55, 'odds_min': 1.4, 'odds_max': 3.2, 'prob_threshold': 0.5, 'n_trades': 81, 'win_rate_%': 66.67, 'avg_EV_€_per_100': 31.73, 'profit_€': 2580.0, 'roi_%': 31.85}",0,0.0,False,-100.0,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5855263157894737,0.5855263157894737,0.5855263157894737,,0.6508554620781105,1.41,3.0,0.6666666666666666,True,456.0,19.0,0.5855263157894737,0.7092198581560284,0.6802721088435374,-0.0947457930540637,False,False,0.6512843094957741,True,0.7092198581560284,0.8,-11.368575506931478,upcoming_d,2026-05-18
NYK,CLE,0.7289823929910528,1.38,3.15,0,2026-05-19,0.5842450765864332,0.6425103354505781,PASS,2026-05-19,2026-05-19T19:51:50.334175+00:00,,2026-05-19__NYK__CLE,LOW_PRICE_NEGATIVE_EV,LOCAL,500.0,"{'home_win_rate_threshold': 0.55, 'odds_min': 1.4, 'odds_max': 3.2, 'prob_threshold': 0.5, 'n_trades': 82, 'win_rate_%': 65.85, 'avg_EV_€_per_100': 31.27, 'profit_€': 2480.0, 'roi_%': 30.24}",0,1.0,False,37.999999999999986,,0.7672413793103449,0.7672413793103449,0.7672413793103449,0.5842450765864332,0.5842450765864332,0.5842450765864332,,0.7289823929910528,1.38,3.15,0.7672413793103449,True,457.0,20.0,0.5842450765864332,0.7246376811594204,0.695364238410596,-0.1111191618241628,False,False,0.6676592181771508,True,0.7246376811594204,0.75,-11.33357370782022,upcoming_d,2026-05-19
