run_date,setup,today_home_team,today_away_team,game_date,home_team,away_team,home_team_prob,home_win_rate,odds_1,odds_2,home_win,home_ml_pnl_100
2026-05-22,general_setup,,,2026-03-10,SAS,BOS,0.6582594987364075,0.8,1.68,2.24,1.0,68.0
2026-05-22,general_setup,,,2026-03-11,LAC,MIN,0.6286054199445067,0.7,1.87,1.95,1.0,87.00000000000001
2026-05-22,general_setup,,,2026-03-11,ORL,CLE,0.6084658945680632,0.6,2.4,1.6,1.0,140.0
2026-05-22,general_setup,,,2026-03-14,LAL,DEN,0.6629825507047897,0.7,2.3,1.65,1.0,129.99999999999997
2026-05-22,general_setup,,,2026-03-16,ATL,ORL,0.8188433318453234,0.65,1.65,2.3,1.0,64.99999999999999
2026-05-22,general_setup,,,2026-03-16,LAC,SAS,0.6186959684889564,0.7,3.7,1.29,0.0,-100.0
2026-05-22,general_setup,,,2026-03-18,NOP,LAC,0.6260285111613384,0.55,1.7,2.2,1.0,70.0
2026-05-22,general_setup,,,2026-03-19,NOP,LAC,0.6052849259661932,0.55,1.8,2.05,1.0,80.0
2026-05-22,general_setup,,,2026-03-22,PHO,TOR,0.7224429936355161,0.55,2.36,1.62,1.0,136.0
2026-05-22,general_setup,,,2026-03-24,PHO,DEN,0.652687159382322,0.55,3.0,1.41,0.0,-100.0
2026-05-22,general_setup,,,2026-03-25,BOS,OKC,0.6114481888481633,0.7,2.2,1.7,1.0,120.00000000000001
2026-05-22,general_setup,,,2026-03-25,CLE,MIA,0.6773072497167854,0.7,1.68,2.24,0.0,-100.0
2026-05-22,general_setup,,,2026-03-25,DET,ATL,0.656959083441213,0.75,1.77,2.1,0.0,-100.0
2026-05-22,general_setup,,,2026-03-26,CHO,NYK,0.6392538770022165,0.55,1.83,2.0,1.0,83.0
2026-05-22,general_setup,,,2026-03-31,HOU,NYK,0.6361156976350337,0.65,1.93,1.89,1.0,93.0
2026-05-22,general_setup,,,2026-03-31,LAL,CLE,0.6230388963999735,0.75,1.77,2.1,1.0,77.0
2026-05-22,general_setup,,,2026-04-02,DET,MIN,0.6827535773534833,0.75,1.62,2.36,1.0,62.000000000000014
2026-05-22,general_setup,,,2026-04-03,PHI,MIN,0.6342918941234155,0.6,1.74,2.14,1.0,74.0
2026-05-22,general_setup,,,2026-04-04,PHI,DET,0.6357483101654647,0.6,2.3,1.65,0.0,-100.0
2026-05-22,general_setup,,,2026-04-08,CLE,ATL,0.6460100498819936,0.7,1.83,2.0,1.0,83.0
2026-05-22,general_setup,,,2026-04-08,LAC,OKC,0.614361579289505,0.6,3.05,1.4,0.0,-100.0
2026-05-22,general_setup,,,2026-04-09,TOR,MIA,0.7335506869382201,0.55,1.62,2.36,1.0,62.000000000000014
2026-05-22,general_setup,,,2026-04-10,POR,LAC,0.769388782590501,0.6,1.87,1.95,1.0,87.00000000000001
2026-05-22,general_setup,,,2026-04-12,BOS,ORL,0.6704822297297395,0.8,2.4,1.6,1.0,140.0
2026-05-22,general_setup,,,2026-04-12,NYK,CHO,0.7207718354042446,0.75,3.6,1.31,0.0,-100.0
2026-05-22,general_setup,,,2026-04-15,PHI,ORL,0.6804090412353525,0.65,1.8,2.05,1.0,80.0
2026-05-22,general_setup,,,2026-04-18,LAL,HOU,0.6713482782000072,0.75,2.7,1.49,1.0,170.00000000000003
2026-05-22,general_setup,,,2026-04-21,LAL,HOU,0.6092838568300003,0.75,2.6,1.52,1.0,160.0
2026-05-22,general_setup,,,2026-04-23,ATL,NYK,0.6589416652742748,0.8,2.02,1.82,1.0,102.0
2026-05-22,general_setup,,,2026-04-24,POR,SAS,0.7425508973513372,0.65,2.2,1.7,0.0,-100.0
2026-05-22,general_setup,,,2026-04-25,ATL,NYK,0.6755375991455155,0.8,2.1,1.77,0.0,-100.0
2026-05-22,general_setup,,,2026-04-26,PHI,BOS,0.6087540628375623,0.65,3.35,1.34,0.0,-100.0
2026-05-22,general_setup,,,2026-04-26,POR,SAS,0.69898623727434,0.6,2.8,1.46,0.0,-100.0
2026-05-22,general_setup,,,2026-04-26,TOR,CLE,0.6733885978348959,0.55,2.42,1.59,1.0,142.0
2026-05-22,general_setup,,,2026-04-27,ORL,DET,0.6818566900098638,0.65,2.3,1.65,1.0,129.99999999999997
2026-05-22,general_setup,,,2026-04-30,MIN,DEN,0.6186563000269014,0.65,3.1,1.39,1.0,210.0
2026-05-22,general_setup,,,2026-04-30,PHI,BOS,0.6866691514487155,0.6,2.9,1.43,1.0,190.0
2026-05-22,general_setup,,,2026-05-01,TOR,CLE,0.7658646278080328,0.6,2.45,1.57,1.0,145.00000000000003
2026-05-22,general_setup,,,2026-05-05,DET,CLE,0.656437841840934,0.75,1.68,2.24,1.0,68.0
2026-05-22,general_setup,,,2026-05-07,DET,CLE,0.6532357327973056,0.75,1.62,2.36,1.0,62.000000000000014
2026-05-22,per_game_similar_bucket,DEN,SAS,2025-11-19,CLE,HOU,0.6649952849665081,0.75,2.0,1.83,0.0,-100.0
2026-05-22,per_game_similar_bucket,DEN,SAS,2025-11-19,PHI,TOR,0.6635558086581727,0.71,2.14,1.74,0.0,-100.0
