n_bets,total_profit,roi_per_bet,min_home_win_rate,min_odds,max_odds,min_iso_proba
54,1122.0,0.20777777777777778,0.5,1.25,2.0,0.6
73,1498.0,0.2052054794520548,0.65,1.1,2.1,0.55
73,1498.0,0.2052054794520548,0.65,1.1,2.1,0.6
28,571.0,0.20392857142857143,0.65,1.4,2.1,0.55
28,571.0,0.20392857142857143,0.65,1.4,2.1,0.6
74,1507.0,0.20364864864864865,0.6,1.1,2.1,0.65
50,1018.0,0.2036,0.6,1.25,2.0,0.55
50,1018.0,0.2036,0.6,1.25,2.0,0.6
77,1528.0,0.19844155844155845,0.5,1.1,2.1,0.65
72,1413.0,0.19625,0.6,1.1,2.1,0.7
73,1405.0,0.19246575342465752,0.6,1.1,2.0,0.65
75,1434.0,0.1912,0.5,1.1,2.1,0.7
76,1441.0,0.18960526315789475,0.55,1.1,2.1,0.65
76,1426.0,0.18763157894736843,0.5,1.1,2.0,0.65
46,859.0,0.1867391304347826,0.65,1.25,2.0,0.55
46,859.0,0.1867391304347826,0.65,1.25,2.0,0.6
71,1311.0,0.18464788732394366,0.6,1.1,2.0,0.7
31,571.0,0.18419354838709678,0.55,1.4,2.1,0.55
31,571.0,0.18419354838709678,0.55,1.4,2.1,0.6
52,952.0,0.18307692307692308,0.55,1.25,2.0,0.55
52,952.0,0.18307692307692308,0.55,1.25,2.0,0.6
74,1347.0,0.18202702702702703,0.55,1.1,2.1,0.7
71,1291.0,0.18183098591549296,0.65,1.1,2.0,0.55
71,1291.0,0.18183098591549296,0.65,1.1,2.0,0.6
74,1332.0,0.18,0.5,1.1,2.0,0.7
75,1339.0,0.17853333333333332,0.55,1.1,2.0,0.65
90,1559.0,0.17322222222222222,0.5,1.1,2.1,0.55
90,1559.0,0.17322222222222222,0.5,1.1,2.1,0.6
31,534.0,0.17225806451612904,0.5,1.4,2.0,0.55
31,534.0,0.17225806451612904,0.5,1.4,2.0,0.6
73,1245.0,0.17054794520547945,0.55,1.1,2.0,0.7
86,1455.0,0.1691860465116279,0.6,1.1,2.1,0.55
86,1455.0,0.1691860465116279,0.6,1.1,2.1,0.6
28,463.9999999999999,0.16571428571428568,0.6,1.4,2.0,0.55
28,463.9999999999999,0.16571428571428568,0.6,1.4,2.0,0.6
13,209.0,0.16076923076923078,0.55,1.6,2.0,0.55
13,209.0,0.16076923076923078,0.55,1.6,2.0,0.6
88,1389.0,0.1578409090909091,0.55,1.1,2.1,0.55
88,1389.0,0.1578409090909091,0.55,1.1,2.1,0.6
88,1352.0,0.15363636363636363,0.5,1.1,2.0,0.55
88,1352.0,0.15363636363636363,0.5,1.1,2.0,0.6
84,1248.0,0.14857142857142858,0.6,1.1,2.0,0.55
84,1248.0,0.14857142857142858,0.6,1.1,2.0,0.6
26,364.0,0.14,0.65,1.4,2.0,0.55
26,364.0,0.14,0.65,1.4,2.0,0.6
86,1182.0,0.13744186046511628,0.55,1.1,2.0,0.55
86,1182.0,0.13744186046511628,0.55,1.1,2.0,0.6
29,364.0,0.12551724137931033,0.55,1.4,2.0,0.55
29,364.0,0.12551724137931033,0.55,1.4,2.0,0.6
